,mean_abs_shap
t1_win_pct_g1,1.1822454586822362
g1_score_diff,1.0077112712057386
g1_t2,0.8929395222343522
g1_t1,0.8085609762521304
team_one_game_points_game_1,0.0952346933545643
tournament_tier,0.09262950737714051
game_pts_g1_diff,0.06119557287034266
g1_total,0.02288427727931665
team_two_most_consecutive_points_game_1,0.01940485497796461
round_num,0.0155283916213121
team_one_most_consecutive_points_game_1,0.009870403949422879
team_two_game_points_game_1,0.007829597897470519
consec_g1_diff,0.006729967753294593
